Flights (American Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2017,7,"78,311","18,891","97,202"
2017,8,"78,553","17,568","96,121"
2017,9,"68,928","12,778","81,706"
2017,10,"75,559","15,007","90,566"
2017,11,"69,689","14,062","83,751"
2017,12,"73,581","16,631","90,212"
2017,TOTAL,"886,803","193,145","1,079,948"
2018,1,"72,293","15,612","87,905"
2018,2,"67,711","14,307","82,018"
2018,3,"75,893","16,863","92,756"
2018,4,"74,118","16,567","90,685"
2018,5,"77,253","17,133","94,386"
2018,6,"77,266","17,672","94,938"
2018,7,"79,177","18,423","97,600"
2018,8,"79,351","17,185","96,536"
2018,9,"73,948","14,136","88,084"
2018,10,"78,497","14,896","93,393"
2018,11,"74,178","13,765","87,943"
2018,12,"74,942","16,032","90,974"
2018,TOTAL,"904,627","192,591","1,097,218"
2019,1,"75,689","15,696","91,385"
2019,2,"70,375",,
2019,3,"78,429",,
2019,4,"74,375",,
2019,TOTAL,"298,868","15,696","91,385"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
